,Lyrics,Title,Year,Genre
1687,Black the sky  weapons fly Lay them waste for your race Black the sky  weapons fly Lay them waste for your race  Black the sky  weapons fly Lay them waste for your race Black the sky  weapons fly Lay them waste for your race,.3,2002,Hip Hop
1688,NONE,NONE,NONE,Hip Hop
1689,I was someone else's girl Every time you look in my eyes All that I felt somehow dies  No  no  no  no Can't you see what you're doing to me? No  no  no  no  Don't look at me with that smile Don't act like everything's fine Stop putting dreams in my head When I should've thought of him instead  When you say the things you do It makes me want to be with you And every time that he kisses me You are always what I see  No  no  no  no You make me forget about him No  no  no  no  Don't look at me with that smile Don't act like everything's fine Stop putting dreams in my head When I should've thought of him instead  No  no  no  no Can't you see what you're doing to me? No  no  no  no  Don't look at me with that smile Don't act like everything's fine Stop putting dreams in my head When I should've thought of him instead  Don't look at me with that smile Don't act like everything's fine Stop putting dreams in my head When I should've thought of him instead,0078h,2003,Hip Hop
1690,NONE,NONE,NONE,Hip Hop
1691,NONE,NONE,NONE,Hip Hop
1692,"And we frittered the time that we had on our hands
And we measured the time that elapsed
And we stumbled around like madmen unbound
And I said  ""Look out boys  these are traps""

And I was just a stranger then
Yes  I was just a stranger then
And I was just a stranger then

And we followed a path till we slipped up and laughed
And I lived half a life in that state
And we got our release in everything but peace
And peace of a record second rate

And I was just a stranger then
And I was just a stranger then
Yes  I was just a stranger then
Like a stranger  always strangest at home

Well  I like what you do
But you will never break through
You can try if you want
But you'll fail

And I was just a stranger then
Yes  I was just a stranger then
And I was just a stranger then
Like a stranger  always strangest at home

",0408,2005,Hip Hop
1693,NONE,NONE,NONE,Hip Hop
1694,"Lying naked in the sun making eyes at everyone
You're the one
Later on you'll stand alone  a lone empty moon  with an empty heart in you're empty hands
And the flowers and the trees
All laughing at your bike
And the neighbors kids run and hide
If they only knew you were really one of them
But you're not
You're the
One
The one
The one
The one

The one
The one
The one
The one
Could it be we're alone and the moon was full of gold
You're heart was filled with blood and the sun was in you're hands
The sun that burned you then 
Now warms you're empty heart 
People come and go 
But you're the
One

The one
The one
The one",1,2009,Hip Hop
1695,All the people I know want to be left alone Some people! I don't know? They want to leave you alone You gotta be just  be just like them Biggest gang I know they call the government Gang is a weapon That you trade your mind in for You gotta be just  be just like them The gang And the government No different The gang And the government No different The gang And the government No different That makes me 1% That makes me 1% Trouble comes down Like a foot steppin heavy Shake your fist At the bitch Or wave your money You gotta be right You gotta be right Don't be no Supper for a big fish With the big lip And the over - Bite  bite  You gotta bite Bite  bite  bite  da bita Bite  bite  ba da da bita Bite  bite  bite  bite Bite  bite  bite  bite All the people I know want to be left alone Some people! I don't know? They want to leave you alone! You gotta be just  be just like them The gang And the government No different The gang And the government No different The gang And the government No different That makes me 1% That makes me 1% That makes me 1% That makes me 1%,1%,NONE,Hip Hop
1696,All the people I know want to be left alone Some people! I don't know? They won't leave you alone You gotta be just  be just like them  Biggest gang I know they call the government Gang is a weapon That you trade your mind in for You gotta be just  be just like them  The gang And the government No different The gang And the government No different The gang And the government No different That makes me 1% That makes me 1%  Trouble comes down Like a foot stepping heavy Shake your fist At the bitch Or wave your money You gotta be right You gotta be right Don't be no Supper for a big fish With the big lip And the over   Bite  bite  You gotta bite Bite  bite  bite  dabita Bite  bite  badadabita Bite  bite  bite  bite Bite  bite  bite  bite  Sll the people I know want to be left alone Some people I don't know? They won't leave you alone! You gotta be just  be just like them  The gang And the government No different The gang And the government No different The gang And the government No different That makes me 1% That makes me 1% That makes me 1% That makes me 1%,1% [Live],1987,Hip Hop
1697,"One  two
One  two  three  four
Give me more lovin' than I've ever had.
Make it all better when I'm feelin' sad.
Tell me that I'm special even when I know I'm not.
Make me feel good when I hurt so bad.
Barely gettin' mad 
I'm so glad I found you.
I love being around you.

You make it easy 
It's easy as one  two  one  two  three  four.
There's only one thing  two do  three words four you.
I love you.
(I love you)
There's only one way  two say  those three words
And that's what I'll do.
I love you.
(I love you)

Give me more lovin' from the very start.
Piece me back together when I fall apart.
Tell me things you never even tell your closest friends.
Make me feel good when I hurt so bad.
Best that I've had.
I'm so glad that I found you.
I love being around you.

You make it easy 
It's easy as one  two  one  two  three  four.
There's only one thing  two do  three words four you.
I love you.
(I love you)
There's only one way  two say  those three words
And that's what I'll do.
I love you.
(I love you)

I love you
(I love you)

You make it easy 
It's easy as one  two  one  two  three  four.
There's only one thing  two do  three words four you.
I love you.
(I love you)
There's only one way  two say  those three words
And that's what I'll do.
I love you.
(I love you)

One  two  three  four
One  two  three  four I love you.
(I love you)
I love you
(I love you)","1, 2, 3, 4",2008,Hip Hop
1698,"Starlit night
The moon is shining bright
You are the one I need
Up at your window
I see a shadow
Silhouette of your grace
Here's this flower
I picked for all the hours
That you've spent with me
The one I love
That I've been dreaming of
Sailing across the sea

Let my hands flow through
Your hair  moving closer
A kiss we'll share
Passionate love to be all night long
We'll never break  as one too strong

Nothing's more
Than what our love is for
As I kiss your cheek
Oh so softly
Hands flowing down my back
One thousand hours  I'll never leave
Our romance
Is a love trance
And now we'll never part
One thousand hours
Of such a love shower
We'll never stop once we start

Let my hands flow through
Your hair  moving closer
A kiss we'll share
Passionate love to be all night long
We'll never break  as one too strong

Let my hands flow through
Your hair  moving closer
A kiss we'll share
Passionate love to be all night long
We'll never break  as one too strong

Strong","1,000 Hours",1991,Hip Hop
1699,"Well  the moon I know  in the town I live  is steady as she waits. It seems as though she yearns for me and calls me by my name. Sometimes she says come to me  kiss me while it's late. And other nights she's just hanging with the stars.  And I've seen her waiting from all her mistakes And what if he never comes when you call?  And  ""Hey  hey it's alright "" she says  ""Once upon a time I lived a perfect night. Hey  hey in another life "" she says  ""In a dream of mine from a thousand years ago.""  ""Don't look back "" I heard a voice  in velvet I couldn't see. The pictures then were black and white  and the details were in between. I heard about a woman once  who did everything ever asked of her. She died last week and her last words were  ""It wasn't worth it.""  And I've seen her patience through all her mistakes And who's gonna save you now?  And  ""Hey  hey it's alright "" she says  ""Once upon a time I lived a perfect night. Hey  hey in another life "" she says  ""In a dream of mine from a thousand years ago.""  ""Hey  it's alright "" she says  ""Once upon a time I lived a perfect night. Hey  hey in another life "" she says  ""In a dream of mine from a thousand years ago.""  ""Hey  hey it's alright "" she says. ""Hey  in another life "" she says.  Way back when  when we became friends  I was you  you were my defense. And quiet was the night. You showed me that bridge  and it brought you home. You told me about it and I never let it go  And I guess I might've been doing the same. Anyhow  quiet was the night.","1,000 Years",2014,Hip Hop
1700,NONE,NONE,NONE,Hip Hop
1701,NONE,NONE,NONE,Hip Hop
1702,They tell me you're a shy boy  But I want you just the same  Don't play innocent with me  You know it's not just fun and games  When I look into your eyes  So much passion burns inside  But if you need some coaxing  I will do it  Step by step there's nothing to it   1-2-3-4 come on baby say you love me  5-6-7 times  8-9-10-11 I'm just gonna keep on counting  Until you are mine   Come out of your shell  boy  You know we go like hand in glove  You're afraid of giving in  But I am never giving up on your love  And no matter what it takes  I will steal your heart away  Take a chance for once you won't regret it  Want my love just come and get it   1-2-3-4 come on baby say you love me  5-6-7 times  8-9-10-11 I'm just gonna keep on counting  Until you are mine   So no matter what it takes  I will steal your heart away  Take a chance for once you won't regret it  Want my love just come and get it   1-2-3-4 come on baby say you love me  5-6-7 times  8-9-10-11 I'm just gonna keep on counting  Until you are mine   1-2-3-4 come on baby say you love me  5-6-7 times  You got to give me your love  8-9-10-11 I'm just gonna keep on counting baby  Until you are mine   1-2-3-4 5-6-7 times  8-9-10-11  1-2-3-4 5-6-7 times  8-9-10-11,1-2-3,1987,Hip Hop
1703,They tell me you're a shy boy But I want you just the same Don't play innocent with me You know it's not just fun and games When I look into your eyes So much passion burns inside But if you need some coaxing I will do it Step by step there's nothing to it  1-2-3-4 come on baby say you love me 5-6-7 times 8-9-10-11 I'm just gonna keep on counting Until you are mine  Come out of your shell  boy You know we go like hand in glove You're afraid of giving in But I am never giving up on your love And no matter what it takes I will steal your heart away Take a chance for once you won't regret it Want my love just come and get it  1-2-3-4 come on baby say you love me 5-6-7 times 8-9-10-11 I'm just gonna keep on counting Until you are mine  So no matter what it takes I will steal your heart away Take a chance for once you won't regret it Want my love just come and get it  1-2-3-4 come on baby say you love me 5-6-7 times 8-9-10-11 I'm just gonna keep on counting Until you are mine  1-2-3-4 come on baby say you love me 5-6-7 times You got to give me your love 8-9-10-11 I'm just gonna keep on counting baby Until you are mine  1-2-3-4 5-6-7 times 8-9-10-11  1-2-3-4 5-6-7 times 8-9-10-11,1-2-3,1989,Hip Hop
1704,They tell me you're shy boy But I want you just the same Don't play innocent with me You know it's not just fun and games When I look into your eyes So much passion burns inside But if you need some coaxing I will do it Step by step there's nothing to it  1-2-3-4 come on baby say you love me 5-6-7 times 8-9-10-11 I'm just gonna keep on counting Until you are mine  Come out of your shell boy You know we go like hand in glove You're afraid of giving in But I am never giving up on your love And no matter what it takes I will steal your heart away Take a chance for once you won't regret it Want my love just come and get it  1-2-3-4 come on baby say you love me 5-6-7 times 8-9-10-11 I'm just gonna keep on counting Until you are mine  So no matter what it takes I will steal your heart away Take a chance for once you won't regret it Take my love just come and get it  1-2-3-4 come on baby say you love me 5-6-7 times 8-9-10-11 I'm just gonna keep on counting Until you are mine  1-2-3-4 come on baby 5-6-7 times You got to give me your love 8-9-10-11 I'm just gonna keep on counting baby Until you are mine  1-2-3-4 5-6-7 times 8-9-10-11  1-2-3-4 5-6-7 times 8-9-10-11,1-2-3,1987,Hip Hop
1705,"Hombres femeninos en un bar
Buscan a mujeres masculinas
Que estén dispuestas a jugar

Jugar

Ejecutan un ritual y ven salir
Personalidades falsas
Disfrazadas de su identidad
Dual infinidad

Mujer masculina con boca de miel
Busca endulzar tu vida
Uno ocho cero cero placer dual
Esas páginas prohibidas
Sujetan la sed perdida

En ese pecado natural
Un pecado natural
Un pecado natural dual
Dual
Jugar

Dual",1-800 Dual,1995,Hip Hop
1706,It's been a while I hit this station  I've been away since didn't know where to go  All I need is my liberation  The place you once called home   Has changed to strange and cold  Where have you been  Call 1-800-out-of-no-where?  I'd rather stand on my own   Where have you been  Call 1-800-out-of-no-where?  No friendly faces  I won't look back  I'll move on   Even as a kid I had my reputation  I couldn't be what they told me to be  I turned my back on education  I'd buy the world for a song   Damn close to prove them wrong  Where have you been  Call 1-800-out-of-no-where?  I'd rather stand on my own   Where have you been  Call 1-800-out-of-no-where?  No friendly faces  I won't look back  I'll move on   Have you heard I'm singing about you  Look at me I'm fine without you  I'm okey on my own  been out of no-where  Have you heard I'm singing about you   Look at me I'm fine without you  Why did you hang up the phone?,1-800-Out-Of-Nowhere,2006,Hip Hop
1707,Zwei  eins  zwei  drei  vier  Wir waren nie bei einem Casting Uns hat niemals wer gefragt Wir können auch nicht singen Haben wir auch nie gesagt Niemals hat uns wer geprüft Wie fähig wir denn sind Und dass wir im Studio Bohlen mieten Weiß doch jedes Kind  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Wir haben keine Instrumente Haben spielen nie gelernt Irgend jemand' zu betrügen Liegt uns eigentlich sehr fern Wir haben nicht lange überlegt Und dachten es wär fein Nur solange es keiner merkt Ein Superstar zu sein  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Gott sei Dank ist in dieser Zeit Die Technik schon so weit Dass sich eins  zwei  drei Banausen Ziemlich hoch nach oben mausern Wir essen nur den Käse Und niemals nicht den Speck Doch wir meinen's ehrlich Diesen ganzen Dreck  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Jetzt zum wirklich letzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei,1. Wahl,2004,Hip Hop
1708,Wir waren nie bei einem Casting Uns hat niemals wer gefragt Wir können auch nicht singen Haben wir auch nie gesagt Niemals hat uns wer geprüft Wie fähig wir denn sind Und dass wir ins Studio Bohlen holen Weiß doch jedes Kind  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Wir haben keine Instrumente Haben spielen nie gelernt Irgend jemand' zu betrügen Liegt uns eigentlich sehr fern Wir haben nicht lange überlegt Und dachten es wär fein Nur solange es keiner merkt Ein Superstar zu sein  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Gott sei Dank ist in dieser Zeit Die Technik schon so weit Dass sich drei Halb-Dilettanten Die Musik neu erfanden  Wieso eigentlich drei? Ich kann ja mein Instrument  Also  ich bin 'n Voll-Dilettant  Äh  und ich erkenn' meine Gitarre an der Farbe  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Jetzt zum wirklich letzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei,1. Wahl,2004,Hip Hop
1709,Wir waren nie bei einem Casting Uns hat niemals wer gefragt Wir können auch nicht singen Haben wir auch nie gesagt Niemals hat uns wer geprüft Wie fähig wir denn sind Und dass wir ins Studio Bohlen holen Weiß doch jedes Kind  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Wir haben keine Instrumente Haben spielen nie gelernt Irgend jemand' zu betrügen Liegt uns eigentlich sehr fern Wir haben nicht lange überlegt Und dachten es wär fein Nur solange es keiner merkt Ein Superstar zu sein  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Gott sei Dank ist in dieser Zeit Die Technik schon so weit Dass sich drei Halb-Dilettanten Die Musik neu erfanden  Wieso eigentlich drei? Ich kann ja mein Instrument  Also  ich bin 'n Voll-Dilettant  Äh  und ich erkenn' meine Gitarre an der Farbe  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Jetzt zum allerletzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei  Jetzt zum wirklich letzten Mal Wir waren nie die erste Wahl Nur durch Tricks und Gaunerei Sind wir vorne mit dabei,1. Wahl (2. Wahl),2004,Hip Hop
1710,Écoutez  s'il vous plaît I'm from another planet  Fünf Uhr früh in der Nachtbar Und noch längst kein Schlaf in Sicht Ich bin zum Denken hier Starre in mein Bier Nur reden will ich nicht Da tippt mir was auf die Schulter Und grinst sich in meine Welt Sagt  sie tut ihm leid Seine Aufdringlichkeit Nennt mich Dirk und hat uns Schnaps bestellt Und ich sag ihm  Erstens Du machst hier einen Fehler Zweitens Für dich immer noch Bela Drittens Ich trinke nicht mit jedem Viertens Ich will nicht mit dir reden (Aaahh) Ich will nicht mit dir reden M-m  Sensitive areas were inflamed   Ehrlichkeit irritiert ihn Und ich zieh mich zurück Da plötzlich seh ich sie Die Frau zum Niederknien Und ich versuch mein Glück Willst du 'nen Drink? Hey  komm doch mal näher  Denn erstens Hi  ich bin der Bela Zweitens Ich mag Nelson Mandela Drittens Ich bin keiner von den Blöden Viertens Ich will nur mit dir reden (Aaahh) Nur ein bisschen mit dir reden Hm-hm  Mademoiselle Let's schwing the dance leg  Und sie sagt Erstens Ich bin mit meinem Freund hier Zweitens Er ist ein Megafan von dir Drittens Ich werd ihn mal rüberwinken Und viertens Er würd gern was mit dir trinken (Aaahh) Nur was mit dir trinken  Erstens Hey  ich komm gleich wieder Zweitens H-H-Hol ihn schon mal rüber Drittens Bitte nicht falsch verstehn Viertens Das sieht nur so aus  als würd ich gehn (Aaahh) Das sieht nur so aus  als würd ich gehn (Aaahh) Das sieht nur so aus  als würd ich gehn (Aaahh) Das sieht so aus  als würd ich gehn  Bei uns zu Hause gehen alle rückwärts,1.2.3. ...,2006,Hip Hop
1711,Stuck in a corner  Are monkeys in cages  That don't have a number  To fight one another   Try to recover  Climb up the ladder  Look up and you see birds  Blind as each other  How long can we suffer?   We're as blind as each other  On the cloud that you're sitting  There's one born every minute  So much to discover  I've become a believer   Sisters and brothers  Who fight one another  Will mourn and deceive us  Will find us and keep us   Take us or leave us  How soon is now? yeah  How long is never?  I'm nothing but normal  With something together   Come on and stick together  On the cloud that you're sitting  There's one born every minute  So much to discover  I've become a believer,1.36,2002,Hip Hop
1712,NONE,NONE,NONE,Hip Hop
1713,NONE,NONE,NONE,Hip Hop
1714,NONE,NONE,NONE,Hip Hop
1715,NONE,NONE,NONE,Hip Hop
1716,NONE,NONE,NONE,Hip Hop
1717,NONE,NONE,NONE,Hip Hop
1718,NONE,NONE,NONE,Hip Hop
1719,NONE,NONE,NONE,Hip Hop
1720,NONE,NONE,NONE,Hip Hop
1721,NONE,NONE,NONE,Hip Hop
1722,Three and When our lips participate Soon then my eyes precipitate I hate to stop but I really have to go A-B-C-D-E-F-G When you call me 'baby' H-I-J-K-L-M-N Oh no When you call me 'baby' I need to find an alley Your voice always makes me have to pee Light up like a Christmas tree I need to find an alley Your voice always makes me have to pee Your face makes my eyes run Your face makes my eyes run Gimme me that guitar! Fa fa fa fa ?? When you call me 'baby' Your voice always makes me have to pee A-B-C-D-E-F-G H-I-J-K-L-M-N Oh no Oh oh you make me have to go Light up like a Christmas tree I need to find an alley Your voice always makes me Your voice always makes me Your voice- I really got to go now Your voice makes me have to pee,1/2 2P,2016,Hip Hop
1723,NONE,NONE,NONE,Hip Hop
1724,NONE,NONE,NONE,Hip Hop
1725,NONE,NONE,NONE,Hip Hop
1726,NONE,NONE,NONE,Hip Hop
1727,NONE,NONE,NONE,Hip Hop
1728,NONE,NONE,NONE,Hip Hop
1729,NONE,NONE,NONE,Hip Hop
1730,NONE,NONE,NONE,Hip Hop
1731,NONE,NONE,NONE,Hip Hop
1732,NONE,NONE,NONE,Hip Hop
1733,NONE,NONE,NONE,Hip Hop
1734,"Click your heals
And feel you come for me
Care free  she's got something big to tell me
At the ocean
Talk back at the ocean
There's no simple way
To let you know
Funny how she always cried out daddy
I got a big surprise  she said
I'm in trouble now
and it cannot wait
She's ten days late
Boy  your life got complicated
Well I can't wait
To see this through
She's ten days late
Ten days late
Low ride bicycles go cruising by
I laugh
I don't even know why
Talk back at the ocean
Consequence and ozone
Catch a glow
Oh no  baby  oh no no
Give me a minute now
To figure out my state
Oh I know
She's ten days late
And I don't know
Where to take it
But it's still great
Knowing you
She's ten days late
Ten days late
Time has come for you to choose
Baby daddies keep your boo
Many blessings come to you
Baby daddy keep your boo
Your eyes look to me for what to do
I can't lie
I don't know
At the ocean
Talk back at the ocean
No one's laughing
Now what do I say
I walk away but  oh no
Don't go
At the ocean
Talk back at the ocean
Give me a minute now
To figure out my state
She's ten days late
And I'm never going to fade it
I guess I'll always be
Knowing you
Knowing you
Knowing you
Crawl on bedpost",10 Days Late,1999,Hip Hop
1735,NONE,NONE,NONE,Hip Hop
1736,NONE,NONE,NONE,Hip Hop
1737,In a run down bed and breakfast A room with a view  across the river I tried to loos the claustrophobia Opened up and find Utopia There's no more denying As my mind go flying Ten light years away to save my soul Ten light years away to change it all Whatever it may take I gotta try again Girl it's time to start over Ten light years away I'd been watching the reflection Of a bamboo in the shade  when I saw her A very hot day in Havana In a midnight blue lagoon I knew she was hiding Ten light years away so take me home Ten light years away to change it all Help me find today It's been way too long Girl it's time to start over Ten light years away There's no more denying As my mind go flying Ten light years away to save my soul Ten light years away to change it all Whatever it may take I gotta try again Girl it's time to start over Ten light years away so take me home Ten light years away to change it all Help me find today It's been way too long Girl it's time to start over Ten light years away,10 Light Years Away,1999,Hip Hop
1738,The heart is a stone and this is a stone that we throw Put your hand on this stone  it's the stone of a home you know They say we will go far  but they don't know how far we'll go With our legs on the edge and our feet on the horizon  They say we can throw far  but they don't know how far we throw With our legs on the edge and our feet on the horizon The heart is a stone  and this is a stone that we throw They say we will go far  but they don't know how far we'll go  It can't be gone  we're still right here It took so long  can't say we heard it all Limbs parallel  we stood so long we fell Tear a moment from the days that carry us on forever  This push and pull is the force of a wave of time In the heat of the night  we would cry  you are not mine They said we would go far  but they don't know how far we'd go 'Cause this heart is a stone  and this is a stone that we throw  It can't be gone  we're still right here It took so long  can't say we saw it all Limbs parallel  we stood so long we fell Ride pyramids at night  they carry us on forever  It can't be gone  we're still right here It took so long  can't say we felt it all Limbs parallel  we stood so long we fell Love's like a pantheon  it carries on forever,10 Mile Stereo,2010,Hip Hop
1739,They say we will go far but they don't know how far we'll go With our legs on the edge and our feet on the horizon 'Cause this heart is a stone and this is a stone that we throw They said we would go far but they don't know how far we'd go  It can't be gone We're still right here It took so long Can't say we heard it all Limbs parallel We stood so long we fell Tear a moment from the days That carry us on forever  This push and pull is the force of a wave of time In the heat of the night  we would cry  you are not mine They say we can throw far but they don't know how far we throw 'Cause this heart is a stone and this is a stone that we throw  It can't be gone We're still right here It took so long Can't say we felt it all Limbs parallel We stood so long we fell Love's like a pantheon It carries on forever,10 Mile Stereo,2017,Hip Hop
1740,The heart is a stone and this is a stone that we throw Put your hand on this stone  it's the stone of a home you know They say we will go far  but they don't know how far we'll go With our legs on the edge and our feet on the horizon  They say we can throw far  but they don't know how far we throw With our legs on the edge and our feet on the horizon The heart is a stone  and this is a stone that we throw They say we will go far  but they don't know how far we'll go  It can't be gone  we're still right here It took so long  can't say we heard it all Limbs parallel  we stood so long we fell Tear a moment from the days that carry us on forever  This push and pull is the force of a wave of time In the heat of the night  we would cry  you are not mine They said we would go far  but they don't know how far we'd go 'Cause this heart is a stone  and this is a stone that we throw  It can't be gone  we're still right here It took so long  can't say we saw it all Limbs parallel  we stood so long we fell Ride pyramids at night  they carry us on forever  It can't be gone  we're still right here It took so long  can't say we felt it all Limbs parallel  we stood so long we fell Love's like a pantheon  it carries on forever,10 Mile Stereo,2010,Hip Hop
1741,Ten minutes to downtown Is ten minutes too far? When my friends all say I'm crazy Maybe I'm being selfish Maybe I'm just scared  Don't be gone when I get home  I need you there  If I had to explain it I wouldn't know where to start It's like you're falling in love while I just fall apart  Ten minutes to downtown Is ten minutes too far? When my heart is saying you're crazy Maybe things are getting better Maybe things aren't so bad  Don't be gone when I get home  you're all I have  If I had to explain it I wouldn't know where to start It's like you're falling in love while I just fall apart  Pockets empty How can you tell me that everything will work out? A pointless fight  When you're always right and everything will work out It works out  Sometimes I miss you more Whenever I'm at home I've been home all summer Now I'm leaving you alone  Pockets empty How can you tell me that everything will work out? A pointless fight  When you're always right and everything will work out Everything will work out Everything will work out,10 Minutes,1999,Hip Hop
1742,I'm not the one to stay up all night But I am the one to turn off the light I'm not the one to make it all come true But I am the one who's good at two Say you just don't care but you still want to try it (then try it)  Say you just don't care but you still want to try it (then try it)   10 seconds down Remote  remote control  10 seconds down Remote  remote control   Now I told you so but you didn't believe Now you gotta goal that you didn't achieve And I don't care I can't say the word It's not my fault I didn't get past third Say you just don't care but you still want to try it (then try it)  Say you just don't care but you still want to try it (then try it)  10 seconds down Remote  remote control  10 seconds down Remote  remote control 10 seconds down Remote  remote control 10 seoconds down Remote  remote control   I'm not the one to stay up all night But I am the one to turn off the light But I'm not the one to make it all come true But I am the one who's good it two Say you just don't care but you still want to try it (then try it) Say you just don't care but you still want to try it (then try it)  10 seconds down Remote  remote control  10 seconds down Remote  remote control  10 seconds down Remote  remote control  10 seconds down Remote  remote control   It's the death of rock 'n' roll and I'm killin' it It's the death of rock 'n' roll and I'm killin' it It's the death of rock 'n' roll and I'm killin' it It's the death of rock 'n' roll and I'm...killin' it!,10 Seconds Down,1995,Hip Hop
1743,The status of our future in both past and present time  Is relegated to a member of a higher class than mine. To Determine and direct the lives of family men who bear the burden Of living up to standard that doesn't exist in 1999  [Chorus]  Who's gonna save us from this lonely picket line  10 years of service but I'm still not worth your time. And I've seen men give their lives  And heard the stories that they tell of how they labored For this company which sold it's soul to hell  Times may be changing but I'll never leave behind the hopes And thoughts I have of better days for families such as mine. Because if history repeats itself and time will surely tell. What goes around will come around and you'll know our pain too well.  [Chorus],10 Years of Service,1999,Hip Hop
1744,"Listen to the tales and romanticize
How we'd follow the path of the hero
Boast about the day when the rivers overrun
How we rise to the height of our halo

Listen to the tales as we all rationalize
Our way into the arms of the savior
Feigning all the trials and the tribulations
None of us have actually been there  not like you

Ignorant siblings in the congregation
Gather around spewing sympathy  spare me
None of them can even hold a candle up to you
Blinded by choice  these hypocrites won't see

But enough about the collective Judas
Who could deny you were the one
Who illuminated your little piece of the divine?

And this little light of mine  a gift you passed on to me
I'm gonna let it shine to guide you safely
On your way your way home

Oh  what are they going to do when the lights go down
Without you to guide them all to Zion?
What are they going to do when the rivers overrun
Other than tremble incessantly?

High is the way  but all eyes are upon the ground
You were the light and the way they'll only read about
I only pray  Heaven knows when to lift you out
10  000 days in the fire is long enough  you're going home

You're the only one who can hold your head up high
Shake your fists at the gates saying  ""I've come home now
Fetch me the spirit  the son  and the father
Tell them their pillar of faith has ascended  it's time now
My time now  give me my  give me my wings""

You are the light and way that they will only read about

Set as I am in my ways and my arrogance
(With the)
Burden of proof tossed upon the believers
You were my witness  my eyes  my evidence
Judith Marie  unconditional one

Daylight dims leaving cold fluorescents
Difficult to see you in this light
Please forgive this bold suggestion but
Should you see your Maker's face tonight
Look Him in the eye  look Him in the eye and tell Him
""I never lived a lie  never took a life but surely saved one
Hallelujah  it's time for You to bring me home""

","10,000 Days",2007,Hip Hop
1745,NONE,NONE,NONE,Hip Hop
1746,Feels like the same today Ten thousand horses drag me down Seems like the same you say Ten thousand voices crying out You put on yourself  you'll see There's nothing left at all Ten thousand fingers dragging me down down down Never want to slow down I keep rollin' on Never want to slow down What I feel and what I know It's all about to change Seems like the same your ways of moving on Ten thousand lies  you're washing your hands of everything else So put on yourself you'll see There's nothing left at all Ten thousand stares they're bringing me down down down Never want to slow down I keep rollin' on Never want to slow down What I feel and what I know Oh it feels like the strain That everybody's giving to me Won't let my hands get tied I'm gonna ride it all out Never gonna slow down this time It's all about to change Change from the past for knowledge tomorrow Carries me on my way I feel you pressing These words left unspoken Change for the sake  change for the sake of change Seems like the same you say Ten thousand cracks you're walking on Fells like the same to say Ten thousand voices calling on You put on yourself You'll see there's nothing left at all But ten thousand horses bringing me down down down Never want to slow down I keep rollin' on Never want to slow down What I feel and what I know Oh it feels like the strain That everybody's giving to me Won't let my hands get tied I'm gonna ride it all out Never gonna slow down this time It's all about to change,"10,000 Horses",1998,Hip Hop
1747,I never wanted to settle down Just a kid on a highway to nowhere Wishin' for my girl to be real She would satisfy my soul  10 000 lovers in one 10 000 lovers in one  Seems like i've known her a thousand Years We'we been together all through our Lives she knows the way love should be A fire burnin endlessly  10 000 lovers in one 10 000 lovers in one She's like 10 000 lovers in one  Solo  10 000 lovers in one 10 000 lovers in one  10 000 lovers 10 000 lovers 10 000 lovers in one,"10,000 Lovers",1999,Hip Hop
1748,NONE,NONE,NONE,Hip Hop
1749,NONE,NONE,NONE,Hip Hop
1750,NONE,NONE,NONE,Hip Hop
1751,"They tried to assassinate me  can't get past my shield
Got a hundred fresh disciples learnin' how to kneel

What I ain't got  they beg borrow steal
They're my hundred fresh disciples learnin' how to kneel

Hundred fresh disciples  babe  I got a hundred fresh disciples

Don Fredo on the phone line  he's tryin' to make a deal
Just another fresh disciple learnin' how to kneel

When I give him what he wants  then baby don't he squeal
Got a thousand fresh disciples I've never yet revealed

Kick!
Bass!

Hundred fresh disciples  babe  I got a hundred fresh disciples

Hundred fresh disciples  babe  I got a hundred fresh disciples  baby



",100 Fresh Disciples,2001,Hip Hop
1752,NONE,NONE,NONE,Hip Hop
1753,NONE,NONE,NONE,Hip Hop
